# Synthetic launch telemetry for trying SignalScope.
# Time is seconds; the remaining 16 columns exercise smooth, angular, XY,
# stepped, boolean, discrete-state, high-frequency, drifting, and gapped data.
time_s,altitude_m,velocity_body/x_mps,velocity_body/y_mps,accel_z_mps2,battery_v,attitude/roll_deg,attitude/pitch_deg,navigation/position_east_m,navigation/position_north_m,guidance/target_altitude_m,control/throttle_pct,events/engine_on,flight/mode_code,vibration/accel_x_g,thermal/avionics_c,sensor/gps_altitude_m
0.0,0.0,0.0,0.0,9.81,28.00,0.0,0.0,0.0,0.0,100,0,0,0,0.00,24.0,0.2
0.1,0.08,0.32,0.04,10.328,27.996,0.24,0.2,0.04,0.02,100,0,0,0,0.024,24.08,0.26
0.2,0.16,0.64,0.08,10.846,27.992,0.48,0.4,0.08,0.04,100,0,0,0,0.048,24.16,0.32
0.3,0.24,0.96,0.12,11.364,27.988,0.72,0.6,0.12,0.06,100,0,0,0,0.072,24.24,0.38
0.4,0.32,1.28,0.16,11.882,27.984,0.96,0.8,0.16,0.08,100,0,0,0,0.096,24.32,0.44
0.5,0.4,1.6,0.2,12.40,27.98,1.2,1.0,0.2,0.1,100,15,1,1,0.12,24.4,0.5
0.6,0.68,2.1,0.26,12.74,27.974,1.46,1.22,0.3,0.14,100,15,1,1,0.06,24.5,0.74
0.7,0.96,2.6,0.32,13.08,27.968,1.72,1.44,0.4,0.18,100,15,1,1,0,24.6,0.98
0.8,1.24,3.1,0.38,13.42,27.962,1.98,1.66,0.5,0.22,100,15,1,1,-0.06,24.7,1.22
0.9,1.52,3.6,0.44,13.76,27.956,2.24,1.88,0.6,0.26,100,15,1,1,-0.12,24.8,1.46
1.0,1.8,4.1,0.5,14.10,27.95,2.5,2.1,0.7,0.3,100,30,1,1,-0.18,24.9,1.7
1.1,2.36,4.74,0.58,14.44,27.942,2.8,2.34,0.86,0.38,100,30,1,1,-0.094,25.02,2.32
1.2,2.92,5.38,0.66,14.78,27.934,3.1,2.58,1.02,0.46,100,30,1,1,-0.008,25.14,2.94
1.3,3.48,6.02,0.74,15.12,27.926,3.4,2.82,1.18,0.54,100,30,1,1,0.078,25.26,3.56
1.4,4.04,6.66,0.82,15.46,27.918,3.7,3.06,1.34,0.62,100,30,1,1,0.164,25.38,4.18
1.5,4.6,7.3,0.9,15.80,27.91,4.0,3.3,1.5,0.7,100,45,1,1,0.25,25.5,4.8
1.6,5.52,8.12,1,16.08,27.9,4.36,3.56,1.74,0.8,100,45,1,1,0.138,25.64,5.64
1.7,6.44,8.94,1.1,16.36,27.89,4.72,3.82,1.98,0.9,100,45,1,1,0.026,25.78,6.48
1.8,7.36,9.76,1.2,16.64,27.88,5.08,4.08,2.22,1,100,45,1,1,-0.086,25.92,7.32
1.9,8.28,10.58,1.3,16.92,27.87,5.44,4.34,2.46,1.1,100,45,1,1,-0.198,26.06,8.16
2.0,9.2,11.4,1.4,17.20,27.86,5.8,4.6,2.7,1.2,100,60,1,1,-0.31,26.2,9.0
2.1,10.58,12.36,1.52,17.36,27.848,6.14,4.88,3,1.34,100,60,1,1,-0.172,26.36,10.48
2.2,11.96,13.32,1.64,17.52,27.836,6.48,5.16,3.3,1.48,100,60,1,1,-0.034,26.52,11.96
2.3,13.34,14.28,1.76,17.68,27.824,6.82,5.44,3.6,1.62,100,60,1,1,0.104,26.68,13.44
