time,command,response,temperature
0.000000,0.000000,0.003000,21.823286
0.010000,0.000000,0.004156,21.829674
0.020000,0.000000,0.005288,21.836064
0.030000,0.000000,0.006371,21.842457
0.040000,0.000000,0.007384,21.848853
0.050000,0.000000,0.008305,21.855251
0.060000,0.000000,0.009115,21.861653
0.070000,0.000000,0.009796,21.868057
0.080000,0.000000,0.010334,21.874463
0.090000,0.000000,0.010719,21.880873
0.100000,0.000000,0.010942,21.887285
0.110000,0.000000,0.010998,21.893700
0.120000,0.000000,0.010886,21.900117
0.130000,0.000000,0.010608,21.906538
0.140000,0.000000,0.010171,21.912961
0.150000,0.000000,0.009584,21.919386
0.160000,0.000000,0.008858,21.925814
0.170000,0.000000,0.008009,21.932245
0.180000,0.000000,0.007055,21.938679
0.190000,0.000000,0.006016,21.945115
0.200000,0.000000,0.004914,21.951554
0.210000,0.000000,0.003772,21.957996
0.220000,0.000000,0.002613,21.964440
0.230000,0.000000,0.001462,21.970887
0.240000,0.000000,0.000344,21.977337
0.250000,0.000000,-0.000718,21.983789
0.260000,0.000000,-0.001703,21.990243
0.270000,0.000000,-0.002589,21.996701
0.280000,0.000000,-0.003357,22.003161
0.290000,0.000000,-0.003992,22.009623
0.300000,0.000000,-0.004480,22.016088
0.310000,0.000000,-0.004812,22.022556
0.320000,0.000000,-0.004979,22.029026
0.330000,0.000000,-0.004979,22.035499
0.340000,0.000000,-0.004811,22.041974
0.350000,0.000000,-0.004480,22.048452
0.360000,0.000000,-0.003991,22.054932
0.370000,0.000000,-0.003356,22.061415
0.380000,0.000000,-0.002587,22.067901
0.390000,0.000000,-0.001701,22.074389
0.400000,0.000000,-0.000717,22.080879
0.410000,0.000000,0.000346,22.087372
0.420000,0.000000,0.001464,22.093867
0.430000,0.000000,0.002615,22.100365
0.440000,0.000000,0.003773,22.106865
0.450000,0.000000,0.004916,22.113368
0.460000,0.000000,0.006018,22.119873
0.470000,0.000000,0.007057,22.126381
0.480000,0.000000,0.008011,22.132891
0.490000,0.000000,0.008859,22.139404
0.500000,0.000000,0.009585,22.145919
0.510000,0.000000,0.010172,22.152436
0.520000,0.000000,0.010609,22.158956
0.530000,0.000000,0.010886,22.165478
0.540000,0.000000,0.010998,22.172002
0.550000,0.000000,0.010941,22.178529
0.560000,0.000000,0.010719,22.185058
0.570000,0.000000,0.010334,22.191589
0.580000,0.000000,0.009795,22.198123
0.590000,0.000000,0.009113,22.204659
0.600000,0.000000,0.008304,22.211198
0.610000,0.000000,0.007383,22.217739
0.620000,0.000000,0.006370,22.224282
0.630000,0.000000,0.005286,22.230827
0.640000,0.000000,0.004154,22.237374
0.650000,0.000000,0.002998,22.243924
0.660000,0.000000,0.001842,22.250476
0.670000,0.000000,0.000711,22.257031
0.680000,0.000000,-0.000373,22.263587
0.690000,0.000000,-0.001386,22.270146
0.700000,0.000000,-0.002306,22.276707
0.710000,0.000000,-0.003116,22.283270
0.720000,0.000000,-0.003797,22.289835
0.730000,0.000000,-0.004335,22.296402
0.740000,0.000000,-0.004720,22.302972
0.750000,0.000000,-0.004942,22.309544
0.760000,0.000000,-0.004998,22.316118
0.770000,0.000000,-0.004885,22.322694
0.780000,0.000000,-0.004608,22.329272
0.790000,0.000000,-0.004170,22.335852
0.800000,0.000000,-0.003583,22.342434
0.810000,0.000000,-0.002857,22.349019
0.820000,0.000000,-0.002008,22.355605
0.830000,0.000000,-0.001054,22.362193
0.840000,0.000000,-0.000015,22.368784
0.850000,0.000000,0.001088,22.375377
0.860000,0.000000,0.002230,22.381971
0.870000,0.000000,0.003389,22.388568
0.880000,0.000000,0.004539,22.395166
0.890000,0.000000,0.005658,22.401767
0.900000,0.000000,0.006720,22.408369
0.910000,0.000000,0.007704,22.414973
0.920000,0.000000,0.008590,22.421580
0.930000,0.000000,0.009358,22.428188
0.940000,0.000000,0.009993,22.434798
0.950000,0.000000,0.010481,22.441410
0.960000,0.000000,0.010812,22.448024
0.970000,0.000000,0.010979,22.454640
0.980000,0.000000,0.010979,22.461258
0.990000,0.000000,0.010811,22.467877
1.000000,1.000000,0.010479,22.474499
1.010000,1.001600,0.009990,22.481122
1.020000,1.003200,0.009355,22.487747
1.030000,1.004800,0.008586,22.494374
1.040000,1.006399,0.007700,22.501002
1.050000,1.007998,0.006715,22.507632
1.060000,1.009596,0.005653,22.514265
1.070000,1.011194,0.004534,22.520898
1.080000,1.012791,0.003384,22.527534
1.090000,1.014388,0.002225,22.534171
1.100000,1.015983,0.001083,22.540810
1.110000,1.017577,0.008031,22.547451
1.120000,1.019171,0.015004,22.554093
1.130000,1.020763,0.022024,22.560737
1.140000,1.022353,0.029112,22.567382
1.150000,1.023942,0.036286,22.574030
1.160000,1.025530,0.043560,22.580678
1.170000,1.027116,0.050947,22.587329
1.180000,1.028701,0.058458,22.593981
1.190000,1.030283,0.066097,22.600634
1.200000,1.031864,0.073867,22.607289
1.210000,1.033442,0.081767,22.613946
1.220000,1.035019,0.089793,22.620604
1.230000,1.036593,0.097937,22.627264
1.240000,1.038165,0.106187,22.633925
1.250000,1.039734,0.114530,22.640588
1.260000,1.041301,0.122948,22.647252
1.270000,1.042865,0.131423,22.653917
1.280000,1.044426,0.139933,22.660584
1.290000,1.045985,0.148455,22.667253
1.300000,1.047541,0.156967,22.673923
1.310000,1.049093,0.165443,22.680594
1.320000,1.050643,0.173860,22.687266
1.330000,1.052189,0.182195,22.693940
1.340000,1.053732,0.190424,22.700615
1.350000,1.055271,0.198526,22.707292
1.360000,1.056807,0.206482,22.713970
1.370000,1.058339,0.214276,22.720649
1.380000,1.059868,0.221893,22.727330
1.390000,1.061393,0.229322,22.734011
1.400000,1.062913,0.236555,22.740694
1.410000,1.064430,0.243588,22.747379
1.420000,1.065943,0.250419,22.754064
1.430000,1.067451,0.257051,22.760751
1.440000,1.068955,0.263489,22.767439
1.450000,1.070455,0.269744,22.774128
1.460000,1.071950,0.275827,22.780818
1.470000,1.073441,0.281754,22.787509
1.480000,1.074926,0.287543,22.794202
1.490000,1.076407,0.293214,22.800895
1.500000,1.077884,0.298788,22.807590
1.510000,1.079355,0.304290,22.814286
1.520000,1.080821,0.309742,22.820982
1.530000,1.082282,0.315170,22.827680
1.540000,1.083738,0.320598,22.834379
1.550000,1.085188,0.326049,22.841079
1.560000,1.086633,0.331546,22.847780
1.570000,1.088072,0.337109,22.854482
1.580000,1.089506,0.342757,22.861184
1.590000,1.090934,0.348506,22.867888
1.600000,1.092356,0.354370,22.874593
1.610000,1.093772,0.360358,22.881299
1.620000,1.095182,0.366479,22.888005
1.630000,1.096586,0.372735,22.894712
1.640000,1.097984,0.379126,22.901421
1.650000,1.099376,0.385650,22.908130
1.660000,1.100761,0.392298,22.914840
1.670000,1.102140,0.399062,22.921550
1.680000,1.103513,0.405927,22.928262
1.690000,1.104878,0.412878,22.934974
1.700000,1.106237,0.419896,22.941687
1.710000,1.107589,0.426960,22.948401
1.720000,1.108935,0.434048,22.955116
1.730000,1.110273,0.441137,22.961831
1.740000,1.111604,0.448203,22.968547
1.750000,1.112928,0.455221,22.975264
1.760000,1.114245,0.462167,22.981981
1.770000,1.115555,0.469019,22.988699
1.780000,1.116857,0.475754,22.995418
1.790000,1.118152,0.482353,23.002137
1.800000,1.119439,0.488798,23.008857
1.810000,1.120719,0.495073,23.015577
1.820000,1.121990,0.501167,23.022298
1.830000,1.123254,0.507070,23.029020
1.840000,1.124510,0.512777,23.035742
1.850000,1.125759,0.518284,23.042464
1.860000,1.126999,0.523595,23.049187
1.870000,1.128231,0.528712,23.055911
1.880000,1.129454,0.533645,23.062635
1.890000,1.130670,0.538404,23.069359
1.900000,1.131877,0.543005,23.076084
1.910000,1.133076,0.547463,23.082810
1.920000,1.134266,0.551799,23.089535
