time,command,response
0.000000,0.000000,0.021000
0.010000,0.000000,0.022322
0.020000,0.000000,0.023607
0.030000,0.000000,0.024821
0.040000,0.000000,0.025930
0.050000,0.000000,0.026903
0.060000,0.000000,0.027714
0.070000,0.000000,0.028341
0.080000,0.000000,0.028765
0.090000,0.000000,0.028976
0.100000,0.000000,0.028968
0.110000,0.000000,0.028741
0.120000,0.000000,0.028301
0.130000,0.000000,0.027660
0.140000,0.000000,0.026836
0.150000,0.000000,0.025852
0.160000,0.000000,0.024734
0.170000,0.000000,0.023513
0.180000,0.000000,0.022224
0.190000,0.000000,0.020901
0.200000,0.000000,0.019580
0.210000,0.000000,0.018299
0.220000,0.000000,0.017092
0.230000,0.000000,0.015992
0.240000,0.000000,0.015030
0.250000,0.000000,0.014232
0.260000,0.000000,0.013620
0.270000,0.000000,0.013211
0.280000,0.000000,0.013017
0.290000,0.000000,0.013041
0.300000,0.000000,0.013285
0.310000,0.000000,0.013740
0.320000,0.000000,0.014396
0.330000,0.000000,0.015232
0.340000,0.000000,0.016228
0.350000,0.000000,0.017354
0.360000,0.000000,0.018581
0.370000,0.000000,0.019874
0.380000,0.000000,0.021198
0.390000,0.000000,0.022517
0.400000,0.000000,0.023794
0.410000,0.000000,0.024995
0.420000,0.000000,0.026085
0.430000,0.000000,0.027036
0.440000,0.000000,0.027820
0.450000,0.000000,0.028417
0.460000,0.000000,0.028811
0.470000,0.000000,0.028989
0.480000,0.000000,0.028948
0.490000,0.000000,0.028688
0.500000,0.000000,0.028217
0.510000,0.000000,0.027548
0.520000,0.000000,0.026698
0.530000,0.000000,0.025692
0.540000,0.000000,0.024557
0.550000,0.000000,0.023324
0.560000,0.000000,0.022027
0.570000,0.000000,0.020702
0.580000,0.000000,0.019385
0.590000,0.000000,0.018113
0.600000,0.000000,0.016920
0.610000,0.000000,0.015839
0.620000,0.000000,0.014900
0.630000,0.000000,0.014128
0.640000,0.000000,0.013546
0.650000,0.000000,0.013168
0.660000,0.000000,0.013006
0.670000,0.000000,0.013064
0.680000,0.000000,0.013340
0.690000,0.000000,0.013826
0.700000,0.000000,0.014510
0.710000,0.000000,0.015372
0.720000,0.000000,0.016388
0.730000,0.000000,0.017532
0.740000,0.000000,0.018771
0.750000,0.000000,0.020071
0.760000,0.000000,0.021397
0.770000,0.000000,0.022712
0.780000,0.000000,0.023979
0.790000,0.000000,0.025165
0.800000,0.000000,0.026237
0.810000,0.000000,0.027164
0.820000,0.000000,0.027922
0.830000,0.000000,0.028490
0.840000,0.000000,0.028851
0.850000,0.000000,0.028997
0.860000,0.000000,0.028923
0.870000,0.000000,0.028631
0.880000,0.000000,0.028130
0.890000,0.000000,0.027432
0.900000,0.000000,0.026557
0.910000,0.000000,0.025530
0.920000,0.000000,0.024378
0.930000,0.000000,0.023134
0.940000,0.000000,0.021830
0.950000,0.000000,0.020504
0.960000,0.000000,0.019191
0.970000,0.000000,0.017929
0.980000,0.000000,0.016750
0.990000,0.000000,0.015689
1.000000,1.000000,0.014773
1.010000,1.001600,0.014029
1.020000,1.003200,0.013476
1.030000,1.004800,0.013130
1.040000,1.006399,0.013001
1.050000,1.007998,0.013091
1.060000,1.009596,0.013399
1.070000,1.011194,0.013916
1.080000,1.012791,0.014628
1.090000,1.014388,0.015514
1.100000,1.015983,0.016552
1.110000,1.017577,0.017712
1.120000,1.019171,0.018962
1.130000,1.020763,0.026080
1.140000,1.022353,0.037046
1.150000,1.023942,0.047941
1.160000,1.025530,0.058728
1.170000,1.027116,0.069373
1.180000,1.028701,0.079844
1.190000,1.030283,0.090113
1.200000,1.031864,0.100155
1.210000,1.033442,0.109951
1.220000,1.035019,0.119485
1.230000,1.036593,0.128750
1.240000,1.038165,0.137741
1.250000,1.039734,0.146464
1.260000,1.041301,0.154926
1.270000,1.042865,0.163143
1.280000,1.044426,0.171135
1.290000,1.045985,0.178927
1.300000,1.047541,0.186548
1.310000,1.049093,0.194030
1.320000,1.050643,0.201409
1.330000,1.052189,0.208720
1.340000,1.053732,0.216000
1.350000,1.055271,0.223286
1.360000,1.056807,0.230611
1.370000,1.058339,0.238009
1.380000,1.059868,0.245509
1.390000,1.061393,0.253134
1.400000,1.062913,0.260905
1.410000,1.064430,0.268837
1.420000,1.065943,0.276938
1.430000,1.067451,0.285211
1.440000,1.068955,0.293654
